ステップ数,節点0の温度,節点1の温度,節点2の温度,節点3の温度,節点4の温度,節点5の温度,節点6の温度,節点7の温度,節点8の温度,節点9の温度,節点10の温度,節点11の温度,,
1008, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1009, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1010, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1011, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1012, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1013, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1014, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1015, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1016, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1017, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1018, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1019, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1020, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1021, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1022, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1023, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1024, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1025, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1026, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1027, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1028, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1029, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1030, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1031, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1032, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1033, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1034, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1035, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1036, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1037, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1038, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1039, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1040, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1041, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1042, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1043, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1044, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1045, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1046, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1047, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1048, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1049, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1050, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1051, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1052, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1053, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1054, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1055, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1056, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1057, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1058, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1059, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1060, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1061, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1062, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1063, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1064, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1065, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1066, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1067, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1068, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1069, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1070, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1071, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1072, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1073, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1074, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1075, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1076, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1077, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1078, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1079, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1080, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1081, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1082, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1083, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1084, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1085, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1086, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1087, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1088, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1089, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1090, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1091, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1092, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1093, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1094, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1095, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1096, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1097, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1098, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1099, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1100, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1101, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1102, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1103, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1104, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1105, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1106, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1107, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1108, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1109, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1110, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1111, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1112, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1113, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1114, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1115, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1116, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1117, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1118, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1119, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1120, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1121, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1122, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1123, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1124, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1125, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1126, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1127, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1128, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1129, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1130, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1131, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1132, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1133, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1134, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1135, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1136, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1137, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1138, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1139, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1140, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1141, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1142, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1143, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1144, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1145, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1146, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1147, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1148, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1149, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1150, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1151, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1152, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1153, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1154, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1155, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1156, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1157, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1158, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1159, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1160, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1161, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1162, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1163, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1164, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1165, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1166, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1167, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1168, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1169, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1170, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1171, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1172, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1173, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1174, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1175, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1176, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1177, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1178, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1179, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1180, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1181, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1182, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1183, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1184, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1185, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1186, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1187, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1188, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1189, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1190, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1191, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1192, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1193, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1194, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1195, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1196, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1197, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1198, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1199, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1200, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1201, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1202, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1203, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1204, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1205, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1206, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1207, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1208, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1209, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1210, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1211, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1212, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1213, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1214, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1215, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1216, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1217, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1218, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1219, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
1220, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
