ステップ数,節点0の温度,節点1の温度,節点2の温度,節点3の温度,節点4の温度,節点5の温度,節点6の温度,節点7の温度,節点8の温度,節点9の温度,節点10の温度,節点11の温度,,
47, 183.168,129.14,74.4562,-5.98872,-0.718806,1.41024,9.49366,88.384,53.4149,26.3194,53.8594,35.8123,,
48, 183.178,129.233,74.6399,-5.83166,-0.547601,1.56698,9.64573,88.5467,53.5659,26.517,54.004,35.9668,,
49, 183.188,129.32,74.8127,-5.67945,-0.380921,1.71922,9.79419,88.7006,53.7095,26.7049,54.1422,36.1149,,
50, 183.197,129.4,74.9755,-5.532,-0.21878,1.86705,9.93898,88.8462,53.846,26.8838,54.2744,36.2568,,
51, 183.206,129.476,75.1288,-5.38921,-0.0611721,2.01053,10.0801,88.984,53.976,27.0541,54.4009,36.3929,,
52, 183.214,129.547,75.2733,-5.25097,0.0919233,2.14975,10.2175,89.1144,54.0997,27.2162,54.522,36.5232,,
53, 183.222,129.613,75.4096,-5.11718,0.240539,2.28478,10.3512,89.238,54.2176,27.3707,54.6379,36.6482,,
54, 183.229,129.675,75.5381,-4.98772,0.384719,2.41571,10.4811,89.355,54.33,27.5178,54.7488,36.768,,
55, 183.236,129.734,75.6594,-4.86248,0.524518,2.54262,10.6074,89.466,54.4371,27.658,54.8552,36.8828,,
56, 183.242,129.788,75.7739,-4.74137,0.659998,2.6656,10.7301,89.5712,54.5392,27.7916,54.957,36.9929,,
57, 183.248,129.84,75.882,-4.62427,0.791228,2.78473,10.8491,89.6709,54.6367,27.9191,55.0547,37.0984,,
58, 183.254,129.888,75.9841,-4.51107,0.918284,2.9001,10.9646,89.7656,54.7297,28.0406,55.1483,37.1996,,
59, 183.259,129.934,76.0807,-4.40166,1.04125,3.0118,11.0765,89.8554,54.8185,28.1565,55.238,37.2966,,
60, 183.264,129.976,76.172,-4.29594,1.1602,3.11992,11.1849,89.9407,54.9034,28.267,55.3241,37.3896,,
61, 183.269,130.017,76.2584,-4.19381,1.27523,3.22455,11.29,90.0217,54.9844,28.3726,55.4066,37.4787,,
62, 183.274,130.055,76.3401,-4.09515,1.38644,3.32578,11.3917,90.0986,55.0619,28.4733,55.4858,37.5642,,
63, 183.278,130.091,76.4174,-3.99987,1.4939,3.42369,11.4901,90.1717,55.1359,28.5694,55.5618,37.6462,,
64, 183.282,130.124,76.4907,-3.90786,1.59772,3.51837,11.5853,90.2411,55.2068,28.6613,55.6348,37.7248,,
65, 183.286,130.156,76.5601,-3.81903,1.69799,3.60991,11.6774,90.3071,55.2745,28.749,55.7048,37.8002,,
66, 183.29,130.186,76.6259,-3.73328,1.79481,3.6984,11.7665,90.3699,55.3393,28.8328,55.772,37.8725,,
67, 183.293,130.215,76.6883,-3.65051,1.88827,3.78392,11.8525,90.4297,55.4013,28.9128,55.8365,37.9419,,
68, 183.297,130.242,76.7474,-3.57064,1.97846,3.86655,11.9356,90.4865,55.4607,28.9893,55.8984,38.0084,,
69, 183.3,130.267,76.8035,-3.49357,2.06548,3.94638,12.0159,90.5406,55.5176,29.0624,55.9579,38.0722,,
70, 183.303,130.292,76.8567,-3.41921,2.14943,4.02348,12.0934,90.5921,55.572,29.1323,56.0151,38.1334,,
71, 183.306,130.314,76.9073,-3.34747,2.2304,4.09795,12.1683,90.6411,55.6241,29.1992,56.07,38.1921,,
72, 183.308,130.336,76.9553,-3.27828,2.30847,4.16985,12.2405,90.6878,55.6741,29.2631,56.1227,38.2484,,
73, 183.311,130.357,77.0009,-3.21154,2.38374,4.23927,12.3103,90.7322,55.722,29.3242,56.1733,38.3024,,
74, 183.313,130.376,77.0442,-3.14718,2.4563,4.30628,12.3775,90.7746,55.7679,29.3827,56.222,38.3542,,
75, 183.316,130.395,77.0853,-3.08512,2.52623,4.37096,12.4424,90.815,55.8118,29.4387,56.2688,38.404,,
76, 183.318,130.412,77.1245,-3.02529,2.59362,4.43337,12.505,90.8535,55.854,29.4922,56.3137,38.4517,,
77, 183.32,130.429,77.1617,-2.9676,2.65856,4.49359,12.5653,90.8902,55.8944,29.5435,56.3569,38.4974,,
78, 183.322,130.445,77.1971,-2.91199,2.72111,4.5517,12.6234,90.9252,55.9332,29.5925,56.3984,38.5414,,
79, 183.324,130.46,77.2308,-2.85839,2.78137,4.60774,12.6795,90.9586,55.9704,29.6395,56.4382,38.5835,,
